"","start_station_name","member_casual","num_of_rides"
"145","Clarendon Ave & Junior Ter","member",7251
"146","Lincoln Ave & Belmont Ave","member",7242
"147","Orleans St & Hubbard St","member",7217
"148","LaSalle St & Washington St","member",7166
"149","Sangamon St & Washington Blvd","member",7119
"150","Larrabee St & Division St","member",7096
"151","Orleans St & Chestnut St (NEXT Apts)","member",7091
"152","Carpenter St & Huron St","member",7080
"153","Dayton St & North Ave","member",7073
"154","Ellis Ave & 58th St","member",7070
"155","Shore Dr & 55th St","member",7024
"156","State St & Pearson St","member",7021
"157","Field Blvd & South Water St","member",6975
"158","Lincoln Ave & Roscoe St","member",6932
"159","Damen Ave & Cortland St","member",6859
"160","Larrabee St & Armitage Ave","member",6779
"161","900 W Harrison St","member",6697
"162","Ogden Ave & Chicago Ave","member",6668
"163","DuSable Lake Shore Dr & Monroe St","member",6659
"164","Clark St & North Ave","member",6555
"165","Aberdeen St & Randolph St","member",6549
"166","Southport Ave & Clybourn Ave","member",6463
"167","Southport Ave & Wrightwood Ave","member",6433
"168","Noble St & Milwaukee Ave","member",6358
"169","Fairbanks St & Superior St","member",6351
"170","Wacker Dr & Washington St","member",6336
"171","Broadway & Wilson - Truman College Vaccination Site","member",6290
"172","Franklin St & Adams St (Temp)","member",6263
"173","Ashland Ave & Blackhawk St","member",6224
"174","Canal St & Jackson Blvd","member",6191
"175","Michigan Ave & 18th St","member",6191
"176","Wabash Ave & 16th St","member",6149
"177","Damen Ave & Division St","member",6143
"178","Wabash Ave & Wacker Pl","member",6124
"179","Wells St & Walton St","member",6067
"180","Eckhart Park","member",6045
"181","Sheridan Rd & Buena Ave","member",6004
"182","Ada St & Washington Blvd","member",5974
"183","Dearborn St & Adams St","member",5941
"184","Clark St & Berwyn Ave","member",5931
"185","Larrabee St & Oak St","member",5922
"186","Michigan Ave & 8th St","member",5912
"187","Throop St & Taylor St","member",5904
"188","Clark St & Leland Ave","member",5896
"189","Kedzie Ave & Milwaukee Ave","member",5880
"190","Halsted St & Maxwell St","member",5867
"191","MLK Jr Dr & 29th St","member",5867
"192","Wood St & Taylor St (Temp)","member",5856
"193","Wabash Ave & Adams St","member",5852
"194","California Ave & Milwaukee Ave","member",5846
"195","Rush St & Hubbard St","member",5842
"196","Southport Ave & Belmont Ave","member",5811
"197","Ashland Ave & Chicago Ave","member",5801
"198","Woodlawn Ave & 55th St","member",5796
"199","Ashland Ave & Augusta Blvd","member",5756
"200","Michigan Ave & Madison St","member",5730
"201","Jefferson St & Monroe St","member",5726
"202","Broadway & Argyle St","member",5714
"203","Broadway & Berwyn Ave","member",5703
"204","Lincoln Park Conservatory","member",5669
"205","Honore St & Division St","member",5643
"206","Calumet Ave & 18th St","member",5599
"207","Racine Ave & Wrightwood Ave","member",5559
"208","Southport Ave & Irving Park Rd","member",5495
"209","State St & Van Buren St","member",5416
"210","Michigan Ave & Pearson St","member",5387
"211","Western Ave & Winnebago Ave","member",5374
"212","Walsh Park","member",5370
"213","Paulina Ave & North Ave","member",5272
"214","Cornell Ave & Hyde Park Blvd","member",5256
"215","Lake Shore Dr & North Blvd","member",5221
"216","Dusable Harbor","member",5199
"217","Damen Ave & Thomas St (Augusta Blvd)","member",5062
"218","Financial Pl & Ida B Wells Dr","member",5039
"219","Elston Ave & Cortland St","member",4973
